Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03T00:00:00.000,243.0800018310547,245.75,237.39999389648438,239.5800018310547,237.03602600097656,25740000
2023-01-04T00:00:00.000,232.27999877929688,232.8699951171875,225.9600067138672,229.10000610351562,226.66729736328125,50623400
2023-01-05T00:00:00.000,227.1999969482422,227.5500030517578,221.75999450683594,222.30999755859375,219.94937133789062,39585600
2023-01-06T00:00:00.000,223,225.75999450683594,219.35000610351562,224.92999267578125,222.5415496826172,43613600
2023-01-09T00:00:00.000,226.4499969482422,231.24000549316406,226.41000366210938,227.1199951171875,224.7082977294922,27369800
2023-01-10T00:00:00.000,227.75999450683594,231.30999755859375,227.3300018310547,228.85000610351562,226.41993713378906,27033900
2023-01-11T00:00:00.000,231.2899932861328,235.9499969482422,231.11000061035156,235.77000427246094,233.26644897460938,28669300
2023-01-12T00:00:00.000,235.25999450683594,239.89999389648438,233.55999755859375,238.50999450683594,235.97735595703125,27269500
2023-01-13T00:00:00.000,237,239.3699951171875,234.9199981689453,239.22999572753906,236.68972778320312,21333300
2023-01-17T00:00:00.000,237.97000122070312,240.91000366210938,237.08999633789062,240.35000610351562,237.79783630371094,29831300
2023-01-18T00:00:00.000,241.57000732421875,242.3800048828125,235.52000427246094,235.80999755859375,233.30604553222656,30028700
2023-01-19T00:00:00.000,233.77999877929688,235.52000427246094,230.67999267578125,231.92999267578125,229.46722412109375,28623000
2023-01-20T00:00:00.000,234.86000061035156,240.74000549316406,234.50999450683594,240.22000122070312,237.669189453125,35389800
2023-01-23T00:00:00.000,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,240.004150390625,31934000
2023-01-24T00:00:00.000,242.5,243.9499969482422,240.44000244140625,242.0399932861328,239.46987915039062,40234400
2023-01-25T00:00:00.000,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,238.0550537109375,66526600
2023-01-26T00:00:00.000,243.64999389648438,248.30999755859375,242,248,245.3665771484375,33454500
2023-01-27T00:00:00.000,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,245.52488708496094,26498900
2023-01-30T00:00:00.000,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,240.1327667236328,25867400
2023-01-31T00:00:00.000,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859375,245.17860412597656,26541100
2023-02-01T00:00:00.000,248,255.17999267578125,245.47000122070312,252.75,250.06614685058594,31259900
2023-02-02T00:00:00.000,258.82000732421875,264.69000244140625,257.25,264.6000061035156,261.7903137207031,39940400
2023-02-03T00:00:00.000,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,255.606689453125,29077300
2023-02-06T00:00:00.000,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,254.04342651367188,22518000
2023-02-07T00:00:00.000,260.5299987792969,268.7699890136719,260.0799865722656,267.55999755859375,264.7188720703125,50841400
2023-02-08T00:00:00.000,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,263.897705078125,54686000
2023-02-09T00:00:00.000,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,260.8207092285156,42375100
